WHOI SSSG dsLogCsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
3/29/2024, 14:50:32.803,41.524,-70.672,0.03,24.7,144.3,0.03, NAN,3.9, NAN,997.4, NAN,0.1, NAN,101.55, NAN,297, NAN,10.5, NAN,91.9, NAN,10.5, NAN,321.7, NAN,999.5,135.54,345.24,518.05,5.8487,5.789,125.1,0,1437.246, NAN, NAN, NAN, NAN
3/29/2024, 14:51:32.804,41.524,-70.672,0.08,24.65,269.31,0.01, NAN,3.9, NAN,997.7, NAN,0, NAN,101.55, NAN,301, NAN,10.3, NAN,91.5, NAN,10.3, NAN,325.6, NAN,999.8,127.97,345.18,500.84,5.8487,5.7868,124.8,0,1437.236, NAN, NAN, NAN, NAN
3/29/2024, 14:52:32.804,41.524,-70.672,-0.19,24.67,359.81,0, NAN,3.9, NAN,997.4, NAN,0, NAN,101.55, NAN,304, NAN,7.6, NAN,91.5, NAN,7.6, NAN,328.7, NAN,999.5,108.02,345.96,446.62,5.8488,5.7852,125.4,0,1437.23, NAN, NAN, NAN, NAN
3/29/2024, 14:53:32.804,41.524,-70.672,-0.07,24.79,10.58,0.01, NAN,3.9, NAN,997.2, NAN,0, NAN,101.55, NAN,298, NAN,8, NAN,92.3, NAN,8, NAN,322.8, NAN,999.3,108.88,345.91,440.13,5.8487,5.7833,125.1,0,1437.221, NAN, NAN, NAN, NAN
3/29/2024, 14:54:32.804,41.524,-70.672,0.08,24.71,125.73,0, NAN,3.9, NAN,997.4, NAN,0, NAN,101.55, NAN,298, NAN,12.2, NAN,92.8, NAN,12.2, NAN,322.7, NAN,999.5,120.83,345.2,471,5.8487,5.7782,124.2,0,1437.199, NAN, NAN, NAN, NAN
3/29/2024, 14:55:32.804,41.524,-70.672,-0.26,24.56,74.46,0.01, NAN,3.9, NAN,997.4, NAN,0.4, NAN,101.56, NAN,302, NAN,11.2, NAN,91.9, NAN,11.2, NAN,326.6, NAN,999.5,106.95,345.21,431.79,5.8488,5.7731,124.8,0,1437.177, NAN, NAN, NAN, NAN
3/29/2024, 14:56:32.804,41.524,-70.672,-0.01,24.63,115.4,0.01, NAN,3.9, NAN,996.7, NAN,0.7, NAN,101.57, NAN,302, NAN,8.7, NAN,91.7, NAN,8.7, NAN,326.6, NAN,998.8,110.83,345.74,437.99,5.8488,5.7699,125.1,0,1437.163, NAN, NAN, NAN, NAN
3/29/2024, 14:57:32.804,41.524,-70.672,-0.1,24.59,145.47,0.01, NAN,3.9, NAN,997.3, NAN,0, NAN,101.57, NAN,300, NAN,10.9, NAN,92, NAN,10.9, NAN,324.6, NAN,999.4,104.27,345.75,416.47,5.8488,5.7682,124.8,0,1437.156, NAN, NAN, NAN, NAN
3/29/2024, 14:58:32.804,41.524,-70.672,-0.16,24.64,79.13,0.01, NAN,3.9, NAN,997.2, NAN,0, NAN,101.57, NAN,293, NAN,9.3, NAN,92.6, NAN,9.3, NAN,317.6, NAN,999.3,104.38,345.66,412.47,5.8487,5.7673,125.4,0,1437.152, NAN, NAN, NAN, NAN
3/29/2024, 14:59:32.804,41.524,-70.672,-0.25,24.65,104.49,0.03, NAN,4, NAN,997.4, NAN,0.2, NAN,101.58, NAN,302, NAN,10, NAN,92.5, NAN,10, NAN,326.6, NAN,999.5,104.99,344.95,412.68,5.8489,5.7667,125.7,0,1437.15, NAN, NAN, NAN, NAN
